,origin_airport,dest_airport,airline,fare,nonstop,distance,origin_city,dest_city,passengers
4807,SJC,PHL,American Airlines,315.5221,0,2503.6752057133967,"San Jose, CA","Philadelphia, PA",570
4808,SMF,PHL,Delta Air Lines,372.1853299999999,0,2457.946923469229,"Sacramento, CA","Philadelphia, PA",150
4809,SFO,PHL,Delta Air Lines,399.02367999999996,0,2521.293769763918,"San Francisco, CA","Philadelphia, PA",380
4934,SMF,PHX,American Airlines,152.79818999999998,1,646.8272006633381,"Sacramento, CA","Phoenix, AZ",5730
4935,OAK,PHX,American Airlines,162.36327,1,645.99480565183,"Oakland, CA","Phoenix, AZ",3730
4936,SJC,PHX,Southwest Airlines,164.58608,1,621.4109270357967,"San Jose, CA","Phoenix, AZ",12130
4937,SFO,PHX,Southwest Airlines,148.40771,0,650.9177128548561,"San Francisco, CA","Phoenix, AZ",350
4938,SFO,PHX,American Airlines,158.90436,1,650.9177128548561,"San Francisco, CA","Phoenix, AZ",6490
4939,OAK,PHX,Southwest Airlines,163.33755,1,645.99480565183,"Oakland, CA","Phoenix, AZ",17250
4940,SMF,PHX,Southwest Airlines,168.44331000000003,1,646.8272006633381,"Sacramento, CA","Phoenix, AZ",13030
4941,SFO,PHX,United Airlines,168.76225,1,650.9177128548561,"San Francisco, CA","Phoenix, AZ",6940
4942,MRY,PHX,American Airlines,154.72441,1,598.0893137898935,"Monterey, CA","Phoenix, AZ",1270
4943,SMF,PHX,Southwest Airlines,154.54167999999999,0,646.8272006633381,"Sacramento, CA","Phoenix, AZ",830
4944,SJC,PHX,American Airlines,156.86138,1,621.4109270357967,"San Jose, CA","Phoenix, AZ",7960
4945,OAK,PHX,Southwest Airlines,190.52259999999998,0,645.99480565183,"Oakland, CA","Phoenix, AZ",500
4946,OAK,AZA,Allegiant Air,70.82044499999999,1,668.1788378822376,"Oakland, CA","Phoenix, AZ",1810
4947,STS,PHX,American Airlines,151.96371000000002,1,698.5061104525696,"Santa Rosa, CA","Phoenix, AZ",1240
4948,SFO,PHX,Southwest Airlines,152.00642,1,650.9177128548561,"San Francisco, CA","Phoenix, AZ",8660
4949,SCK,AZA,Allegiant Air,58.02778000000001,1,624.890302548011,"Stockton, CA","Phoenix, AZ",1440
4950,SJC,PHX,Southwest Airlines,172.90691999999999,0,621.4109270357967,"San Jose, CA","Phoenix, AZ",260
5043,SJC,PIT,United Airlines,261.86399,0,2236.103753909445,"San Jose, CA","Pittsburgh, PA",100
5044,SFO,PIT,American Airlines,292.7464,0,2253.770119182248,"San Francisco, CA","Pittsburgh, PA",360
5045,SJC,PIT,American Airlines,343.56883000000005,0,2236.103753909445,"San Jose, CA","Pittsburgh, PA",250
5046,SFO,PIT,United Airlines,360.42678,1,2253.770119182248,"San Francisco, CA","Pittsburgh, PA",1770
5047,SFO,PIT,United Airlines,373.10236000000003,0,2253.770119182248,"San Francisco, CA","Pittsburgh, PA",470
5048,SMF,PIT,American Airlines,341.68519999999995,0,2190.666166839118,"Sacramento, CA","Pittsburgh, PA",230
5049,SMF,PIT,United Airlines,320.81356,0,2190.666166839118,"Sacramento, CA","Pittsburgh, PA",140
5050,SFO,PIT,Southwest Airlines,283.4897,0,2253.770119182248,"San Francisco, CA","Pittsburgh, PA",360
5051,OAK,PIT,Southwest Airlines,297.34029999999996,0,2243.515875652154,"Oakland, CA","Pittsburgh, PA",1040
5052,SJC,PIT,Southwest Airlines,279.86951000000005,1,2236.103753909445,"San Jose, CA","Pittsburgh, PA",200
5053,SJC,PIT,Southwest Airlines,290.76126,0,2236.103753909445,"San Jose, CA","Pittsburgh, PA",400
5054,SFO,PIT,Delta Air Lines,282.67498,0,2253.770119182248,"San Francisco, CA","Pittsburgh, PA",240
5055,SMF,PIT,Southwest Airlines,303.1312,0,2190.666166839118,"Sacramento, CA","Pittsburgh, PA",670
5144,SMF,PDX,Alaska Airlines,140.30023,1,478.54254256226585,"Sacramento, CA","Portland, OR",3950
5145,SJC,PDX,Alaska Airlines,124.96253000000002,1,568.7112802288632,"San Jose, CA","Portland, OR",7340
5146,STS,PDX,Alaska Airlines,162.19001,1,488.6993112006698,"Santa Rosa, CA","Portland, OR",1500
5147,OAK,PDX,Southwest Airlines,129.42729,1,543.3119149399993,"Oakland, CA","Portland, OR",19530
5148,SFO,PDX,Alaska Airlines,116.67755,1,550.1341864365379,"San Francisco, CA","Portland, OR",9800
5149,SJC,PDX,Southwest Airlines,117.99997,1,568.7112802288632,"San Jose, CA","Portland, OR",11960
5150,OAK,PDX,Alaska Airlines,131.88448,1,543.3119149399993,"Oakland, CA","Portland, OR",2640
5151,SFO,PDX,Southwest Airlines,97.078341,1,550.1341864365379,"San Francisco, CA","Portland, OR",2170
5152,SFO,PDX,Virgin America,122.48056000000001,1,550.1341864365379,"San Francisco, CA","Portland, OR",4630
5153,SMF,PDX,Southwest Airlines,155.95666,1,478.54254256226585,"Sacramento, CA","Portland, OR",13300
5154,SFO,PDX,United Airlines,162.69115,1,550.1341864365379,"San Francisco, CA","Portland, OR",5990
5186,SMF,PVD,Southwest Airlines,303.86429000000004,0,2624.120531515445,"Sacramento, CA","Providence, RI",210
5187,SFO,PVD,Southwest Airlines,249.04585,0,2691.339888709074,"San Francisco, CA","Providence, RI",120
5188,OAK,PVD,Southwest Airlines,302.09763,0,2680.824996418317,"Oakland, CA","Providence, RI",420
5189,SJC,PVD,Southwest Airlines,314.04095,0,2675.4352683755396,"San Jose, CA","Providence, RI",210
5193,OAK,PVU,Allegiant Air,48.862594,1,590.5562425477838,"Oakland, CA","Provo, UT",1310
5282,SMF,RDU,United Airlines,315.41641,0,2345.102925600259,"Sacramento, CA","Raleigh/Durham, NC",140
5283,SFO,RDU,American Airlines,296.8673,0,2399.876313886553,"San Francisco, CA","Raleigh/Durham, NC",560
5284,SFO,RDU,United Airlines,372.46366,0,2399.876313886553,"San Francisco, CA","Raleigh/Durham, NC",300
5285,SMF,RDU,Delta Air Lines,331.18907999999993,0,2345.102925600259,"Sacramento, CA","Raleigh/Durham, NC",110
5286,SJC,RDU,Southwest Airlines,298.77212000000003,0,2379.075429989141,"San Jose, CA","Raleigh/Durham, NC",750
5287,SMF,RDU,American Airlines,410.58617000000004,0,2345.102925600259,"Sacramento, CA","Raleigh/Durham, NC",210
5288,SFO,RDU,Southwest Airlines,250.82455000000002,0,2399.876313886553,"San Francisco, CA","Raleigh/Durham, NC",110
5289,SJC,RDU,American Airlines,351.06041,0,2379.075429989141,"San Jose, CA","Raleigh/Durham, NC",230
5290,SMF,RDU,Southwest Airlines,329.01287,0,2345.102925600259,"Sacramento, CA","Raleigh/Durham, NC",660
5291,SFO,RDU,United Airlines,417.65709000000004,1,2399.876313886553,"San Francisco, CA","Raleigh/Durham, NC",3880
5292,OAK,RDU,Southwest Airlines,278.69527,0,2390.252224580182,"Oakland, CA","Raleigh/Durham, NC",680
5293,SFO,RDU,Delta Air Lines,308.15112999999997,0,2399.876313886553,"San Francisco, CA","Raleigh/Durham, NC",540
5294,SJC,RDU,Delta Air Lines,336.24706,0,2379.075429989141,"San Jose, CA","Raleigh/Durham, NC",240
5295,OAK,RDU,Southwest Airlines,280.05904999999996,1,2390.252224580182,"Oakland, CA","Raleigh/Durham, NC",210
5314,OAK,RIC,Southwest Airlines,256.18112,0,2439.0748824893103,"Oakland, CA","Richmond, VA",180
5315,SFO,RIC,American Airlines,360.20748999999995,0,2448.989504891522,"San Francisco, CA","Richmond, VA",240
5316,SMF,RIC,American Airlines,331.69455999999997,0,2390.495515709494,"Sacramento, CA","Richmond, VA",110
5317,SFO,RIC,Delta Air Lines,341.30769,0,2448.989504891522,"San Francisco, CA","Richmond, VA",130
5330,OAK,ROC,Southwest Airlines,286.99998999999997,0,2350.49417579907,"Oakland, CA","Rochester, NY",210
5331,SFO,ROC,United Airlines,315.45658,0,2361.071339425233,"San Francisco, CA","Rochester, NY",380
5332,SJC,ROC,United Airlines,380.34616000000005,0,2345.695296423721,"San Jose, CA","Rochester, NY",130
5333,SMF,ROC,Southwest Airlines,290.67154,0,2292.895033709809,"Sacramento, CA","Rochester, NY",130
5438,SJC,SLC,Southwest Airlines,146.55,0,584.4422900817673,"San Jose, CA","Salt Lake City, UT",160
5439,SFO,SLC,Southwest Airlines,165.02637,0,598.892304418747,"San Francisco, CA","Salt Lake City, UT",110
5440,SFO,SLC,Alaska Airlines,103.11184000000002,1,598.892304418747,"San Francisco, CA","Salt Lake City, UT",760
5441,SMF,SLC,Delta Air Lines,155.96591999999998,1,531.6435880791315,"Sacramento, CA","Salt Lake City, UT",4510
5442,SMF,SLC,Southwest Airlines,122.66713,1,531.6435880791315,"Sacramento, CA","Salt Lake City, UT",2620
5443,SJC,SLC,Delta Air Lines,131.91503999999998,1,584.4422900817673,"San Jose, CA","Salt Lake City, UT",5900
5444,SMF,SLC,United Airlines,181.77098999999998,0,531.6435880791315,"Sacramento, CA","Salt Lake City, UT",100
5445,OAK,SLC,Southwest Airlines,127.79604,1,588.2669677254282,"Oakland, CA","Salt Lake City, UT",7660
